1,Five Card Draw,Draw,5,2,0,6,9,0,Public Domain,N/A
2,Five Card Stud,Stud,5,4,0,10,5,0,Public Domain,N/A
3,Seven Card Stud,Stud,7,5,0,7,7,0,Public Domain,N/A
4,Texas Hold'em,Common,7,4,0,23,7,0,Public Domain,N/A
5,Spit in the Ocean,Common,5,2,4,6,9,0,Public Domain,N/A
6,Three Card Guts,Guts,3,100,0,13,4,0,Public Domain,N/A
7,Five Card Guts,Guts,5,100,0,6,9,0,Public Domain,N/A
8,7/27,Nonpoker,202,202,0,98,202,0,Public Domain,N/A
9,Dutch Stud,Nonpoker,4,304,0,13,4,0,Home Poker Cookbook,http://www.homepoker.com/games01.asp?group=pokerists_cookbook
10,Anaconda,Pass,7,4,0,7,13,0,Public Domain,N/A
11,Acey Ducey,Draw,5,2,8,6,9,1,Home Poker Cookbook,http://www.homepoker.com/games01.asp?group=pokerists_cookbook
12,Aggressive Draw,Draw,5,2,0,6,9,1,Two Plus Two Forums,http://forumserver.twoplustwo.com/ubbthreads.php
13,All for One or One for All,Draw,205,-1,0,8,108,1,Joker Poker,http://www.freewebs.com/jokerpoker/
14,Assassin,Draw,6,2,0,5,10,1,Invented Poker Variations,http://www.pagat.com/invented/poker_vars.html
15,Assassin III,Draw,5,2,1,6,8,1,Pro Forums,http://www.pokerproforums.com/
16,Australian Poker,Draw,5,2,0,6,9,1,Poker.Net Glossary,http://www.poker.net/school/glossary/default.htm
17,Balls,Draw,5,2,24,6,9,1,Jay Close,N/A
18,Bid Poker,Draw,6,99,0,8,6,1,Joker Poker,http://www.freewebs.com/jokerpoker/
19,Blind Tiger,Draw,5,2,0,6,9,1,Joker Poker,http://www.freewebs.com/jokerpoker/
20,California Draw with the Bug,Draw,5,2,1,6,9,1,Public Domain,N/A
21,Call a Wild,Draw,5,2,16,6,9,1,Graham's Card Club,http://www.gccpokertables.com/
22,Canadian Draw,Draw,5,2,0,6,9,1,Source misplaced,N/A
23,Chappy,Draw,5,2,7,6,9,1,Free Times,http://www.free-times.com/archive/coverstorarch/poker.html
